113學年度大學分發入學    各系組最低錄取標準及錄取人數一覽表,,,,,,
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0274,國立成功大學,政治學系,英x1.25 國x1.25 公x1.00 歷x1.00,26,222.75,-----
0275,國立成功大學,經濟學系(自然組),數甲x2.00 英x2.00 國x1.50,13,257.50,-----
0276,國立成功大學,經濟學系(社會組),數Ax2.00 公x2.00 英x2.00 國x1.00,19,321.00,-----
0277,國立成功大學,法律學系,公x1.50 國x1.50 英x1.00 歷x1.00 數Bx1.00,45,294.00,299.25
0300,國立成功大學,心理學系,英x1.50 數甲x1.50 生x1.00 化x1.00 國x1.00,37,276.50,-----
0301,國立成功大學,電機工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00,52,209.00,-----
0302,國立成功大學,電機工程學系(普渡雙聯組),數甲x1.00 物x1.00 英x1.00 化x1.00,5,213.00,-----
"系組
代碼",校名,系組名,採計及加權,"錄取人數
(含外加)","普通生
錄取分數","原住民
錄取分數"
0303,國立成功大學,資訊工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,48,255.00,-----
0304,國立成功大學,資訊工程學系(普渡雙聯組),數甲x1.00 英x1.00 物x1.00 化x1.00 國x1.00,4,259.00,-----
0305,國立成功大學,建築學系,數甲x1.25 物x1.25 英x1.00 化x1.00,17,206.00,-----
0306,國立成功大學,都市計劃學系(自然組),數Ax1.50 英x1.50 國x1.50 物x1.00 化x1.00,15,292.00,-----
0307,國立成功大學,都市計劃學系(社會組),數Ax1.50 英x1.50 國x1.50 地x1.00 歷x1.00,10,299.50,-----
0310,國立成功大學,工業設計學系,英x1.50 物x1.50 數甲x1.00 國x1.00 化x1.00,22,264.50,-----
0311,國立成功大學,生命科學系,生x1.50 化x1.50 英x1.25 數甲x1.00 物x1.00,30,271.75,-----
0312,國立成功大學,生物科技與產業科學系,生x1.50 化x1.50 英x1.50 物x1.00,13,255.50,-----
0313,國立成功大學,全校不分系學士學位學程,數甲x1.00 英x1.00 國x1.00 數Ax1.00,5,204.00,-----
0314,東吳大學,中國文學系,國x2.00 英x1.00 歷x1.00,94,123.00,128.85
0315,東吳大學,歷史學系,歷x2.00 國x1.00 英x1.00,21,161.00,-----
0316,東吳大學,哲學系,國x2.00 英x2.00 公x1.00,17,157.00,-----
0317,東吳大學,政治學系,公x2.00 國x1.50 英x1.50,52,204.00,224.30
0320,東吳大學,社會學系,公x1.50 英x1.50 數Bx1.00 國x1.50,66,175.00,-----
